Order_Number;ID_Client;ID_State_Code;State/ UT;Customer_Name;Order_Date;Status;Product;ID_Product;Category;ID_Category;Brand;ID_Brand;Cost; Sales ;Quantity; Total_Cost ; Total_Sales ;Assigned Supervisor;ID_Vender
140459;CLI36;GJ;Gujarat;Roshan Zameer;19/05/2020;Processing;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;2; R$ 700,00 ; R$ 910,00 ;Aarvi Gupta; VEN11103 
140460;CLI37;GJ;Gujarat;Rakesh Kumar Sharma;19/05/2020;Delivered;"19"" LED Display";PCT31;Monitor;CAT09;Dell;BRD7;R$ 9.500,00; R$ 12.350,00 ;4; R$ 38.000,00 ; R$ 49.400,00 ;Vijay Singh; VEN11104 
140461;CLI38;GJ;Gujarat;Shivanand Sahani;19/05/2020;Shipped;34 TB HDD;PCT258;HDD;CAT10;Western Digital;BRD11;R$ 10.000,00; R$ 13.000,00 ;1; R$ 10.000,00 ; R$ 13.000,00 ;Aadil Khan; VEN11105 
140462;CLI39;GJ;Gujarat;Kunal Patra;19/05/2020;Order;544 GB M.2;PCT259;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;1; R$ 6.500,00 ; R$ 8.450,00 ;Advika Joshi; VEN11106 
140463;CLI40;GJ;Gujarat;Bijendra;19/05/2020;Processing;RYZEN 3rd gen. 3532;PCT260;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;1; R$ 8.500,00 ; R$ 11.050,00 ;Ajay Sharma; VEN11101 
140464;CLI41;GJ;Gujarat;Kranti Bheke;19/05/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;2; R$ 14.000,00 ; R$ 18.200,00 ;Roshan Kumar; VEN11102 
140465;CLI42;GJ;Gujarat;Jagdeep;19/05/2020;Shipped;48 GB DDR4 RAM;PCT261;NIC;CAT12;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;2; R$ 13.100,00 ; R$ 17.030,00 ;Aarvi Gupta; VEN11103 
140466;CLI01;GJ;Gujarat;Adhir Samal;19/05/2020;Order;Standard ATX motherboard;PCT05;Printer;CAT13;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;3; R$ 22.950,00 ; R$ 29.835,00 ;Vijay Singh; VEN11104 
140467;CLI02;GJ;Gujarat;Dannana Jhammi;19/05/2020;Processing;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;4; R$ 4.600,00 ; R$ 5.980,00 ;Aadil Khan; VEN11105 
140468;CLI03;GJ;Gujarat;Vipin Kumar;19/05/2020;Delivered;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;2; R$ 1.700,00 ; R$ 2.210,00 ;Advika Joshi; VEN11106 
140469;CLI04;GJ;Gujarat;Ranjeet Kumar;19/05/2020;Shipped;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;3; R$ 1.950,00 ; R$ 2.535,00 ;Ajay Sharma; VEN11101 
140470;CLI05;GJ;Gujarat;Sajal Singhal;19/05/2020;Order;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;1; R$ 7.500,00 ; R$ 9.750,00 ;Roshan Kumar; VEN11102 
140471;CLI06;GJ;Gujarat;Akhilesh Kumar;19/05/2020;Processing;34 TB HDD;PCT258;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;3; R$ 30.000,00 ; R$ 39.000,00 ;Aarvi Gupta; VEN11103 
140472;CLI07;GJ;Gujarat;Suvankar Chakraborty;19/05/2020;Delivered;33 TB SSD;PCT262;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;1; R$ 10.500,00 ; R$ 13.650,00 ;Vijay Singh; VEN11104 
140473;CLI08;GJ;Gujarat;Suvankar Adhikary;19/05/2020;Shipped;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Aadil Khan; VEN11105 
140474;CLI09;GJ;Gujarat;Rahul Kumar Prajapati;19/05/2020;Order;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;4; R$ 28.000,00 ; R$ 36.400,00 ;Advika Joshi; VEN11106 
140475;CLI10;GJ;Gujarat;Sagar Jeur;19/05/2020;Processing;36 GB DDR4 Ram;PCT177;NIC;CAT12;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;2; R$ 3.360,00 ; R$ 4.368,00 ;Ajay Sharma; VEN11101 
140476;CLI11;GJ;Gujarat;Rhushikesh Mane;19/05/2020;Delivered;Micro ATX motherboard;PCT14;Printer;CAT13;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;3; R$ 19.620,00 ; R$ 25.506,00 ;Roshan Kumar; VEN11102 
140477;CLI12;GJ;Gujarat;Ashish Kumar;19/05/2020;Shipped;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;1; R$ 2.680,00 ; R$ 3.484,00 ;Aarvi Gupta; VEN11103 
140478;CLI13;GJ;Gujarat;Javed Akhter;19/05/2020;Order;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;2; R$ 16.500,00 ; R$ 21.450,00 ;Vijay Singh; VEN11104 
140479;CLI14;GJ;Gujarat;Haridas Balraj;19/05/2020;Processing;40 GB DDR4 RAM;PCT205;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;1; R$ 2.650,00 ; R$ 3.445,00 ;Aadil Khan; VEN11105 
140480;CLI15;GJ;Gujarat;Kundan Kumar;19/05/2020;Delivered;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;3; R$ 37.650,00 ; R$ 48.945,00 ;Advika Joshi; VEN11106 
140481;CLI16;GJ;Gujarat;Atif Siddiqui;20/05/2020;Shipped;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;2; R$ 29.000,00 ; R$ 37.700,00 ;Ajay Sharma; VEN11101 
140482;CLI17;GJ;Gujarat;Aditya Agarwal;21/05/2020;Order;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;3; R$ 2.400,00 ; R$ 3.120,00 ;Roshan Kumar; VEN11102 
140483;CLI18;GJ;Gujarat;Firdoush Jabee;22/05/2020;Processing;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;4; R$ 2.400,00 ; R$ 3.120,00 ;Aarvi Gupta; VEN11103 
140484;CLI19;GJ;Gujarat;Jay Prakash Kumar;23/05/2020;Delivered;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;4; R$ 42.000,00 ; R$ 54.600,00 ;Vijay Singh; VEN11104 
140485;CLI20;GJ;Gujarat;Ashish Pandey;24/05/2020;Shipped;34 TB HDD;PCT258;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;4; R$ 26.000,00 ; R$ 33.800,00 ;Aadil Khan; VEN11105 
140486;CLI21;GJ;Gujarat;Ajay Sharma;24/05/2020;Order;289 GB SSD;PCT263;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;4; R$ 18.000,00 ; R$ 23.400,00 ;Advika Joshi; VEN11106 
140487;CLI22;GJ;Gujarat;Moinuddin Saifi;24/05/2020;Processing;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Ajay Sharma; VEN11101 
140488;CLI23;GJ;Gujarat;Ramkrishna Das Adhikary;24/05/2020;Delivered;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;1; R$ 12.500,00 ; R$ 16.250,00 ;Roshan Kumar; VEN11102 
140489;CLI24;GJ;Gujarat;Ranjeet Mandal;24/05/2020;Shipped;41 GB DDR4 RAM;PCT212;RAM;CAT04;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;3; R$ 10.500,00 ; R$ 13.650,00 ;Aarvi Gupta; VEN11103 
140490;CLI25;GJ;Gujarat;Ashwini Adsare;24/05/2020;Order;BTX motherboard;PCT27;Motherboard;CAT05;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;2; R$ 9.000,00 ; R$ 11.700,00 ;Vijay Singh; VEN11104 
140491;CLI26;GJ;Gujarat;Rajesh Variya;24/05/2020;Processing;36 Fans Cabinet;PCT264;Cabinet;CAT06;Asus;BRD6;R$ 2.100,00; R$ 2.730,00 ;1; R$ 2.100,00 ; R$ 2.730,00 ;Aadil Khan; VEN11105 
140492;CLI27;GJ;Gujarat;Amit Singh;24/05/2020;Delivered;Wireless Keyboard;PCT29;Keyboard;CAT07;Dell;BRD7;R$ 1.150,00; R$ 1.495,00 ;4; R$ 4.600,00 ; R$ 5.980,00 ;Advika Joshi; VEN11106 
140493;CLI28;GJ;Gujarat;Vinod Mehta;24/05/2020;Shipped;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;4; R$ 1.400,00 ; R$ 1.820,00 ;Ajay Sharma; VEN11101 
140494;CLI29;GJ;Gujarat;Jignesh Mhatre;24/05/2020;Order;"19"" LED Display";PCT31;Monitor;CAT09;Dell;BRD7;R$ 9.500,00; R$ 12.350,00 ;1; R$ 9.500,00 ; R$ 12.350,00 ;Roshan Kumar; VEN11102 
140495;CLI30;GJ;Gujarat;Rahul Kashyap;24/05/2020;Processing;35 TB HDD;PCT265;HDD;CAT10;Western Digital;BRD11;R$ 10.000,00; R$ 13.000,00 ;3; R$ 30.000,00 ; R$ 39.000,00 ;Aarvi Gupta; VEN11103 
140496;CLI31;GJ;Gujarat;Mohammed Abdul Kaleem;24/05/2020;Delivered;545 GB M.2;PCT266;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Vijay Singh; VEN11104 
140497;CLI32;GJ;Gujarat;Chandrakant Kasbe;24/05/2020;Shipped;RYZEN 3rd gen. 3533;PCT267;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;3; R$ 25.500,00 ; R$ 33.150,00 ;Aadil Khan; VEN11105 
140498;CLI33;GJ;Gujarat;Rohan Kale;24/05/2020;Order;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;3; R$ 21.000,00 ; R$ 27.300,00 ;Advika Joshi; VEN11106 
140499;CLI34;GJ;Gujarat;Aniruddha Kekapure;25/05/2020;Processing;49 GB DDR4 RAM;PCT268;RAM;CAT04;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;3; R$ 19.650,00 ; R$ 25.545,00 ;Ajay Sharma; VEN11101 
140500;CLI35;GJ;Gujarat;Aslam Raza;26/05/2020;Delivered;Standard ATX motherboard;PCT05;Motherboard;CAT05;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;1; R$ 7.650,00 ; R$ 9.945,00 ;Roshan Kumar; VEN11102 
140501;CLI36;GJ;Gujarat;Roshan Zameer;27/05/2020;Shipped;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;2; R$ 2.300,00 ; R$ 2.990,00 ;Aarvi Gupta; VEN11103 
140502;CLI37;GJ;Gujarat;Rakesh Kumar Sharma;27/05/2020;Order;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;4; R$ 3.400,00 ; R$ 4.420,00 ;Vijay Singh; VEN11104 
140503;CLI38;GJ;Gujarat;Shivanand Sahani;27/05/2020;Processing;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;2; R$ 1.300,00 ; R$ 1.690,00 ;Aadil Khan; VEN11105 
140504;CLI39;GJ;Gujarat;Kunal Patra;27/05/2020;Delivered;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;2; R$ 15.000,00 ; R$ 19.500,00 ;Advika Joshi; VEN11106 
140505;CLI40;GJ;Gujarat;Bijendra;27/05/2020;Shipped;35 TB HDD;PCT265;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;2; R$ 20.000,00 ; R$ 26.000,00 ;Ajay Sharma; VEN11101 
140506;CLI41;GJ;Gujarat;Kranti Bheke;27/05/2020;Order;34 TB SSD;PCT269;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;3; R$ 31.500,00 ; R$ 40.950,00 ;Roshan Kumar; VEN11102 
140507;CLI42;GJ;Gujarat;Jagdeep;27/05/2020;Processing;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;4; R$ 34.000,00 ; R$ 44.200,00 ;Aarvi Gupta; VEN11103 
140508;CLI01;GJ;Gujarat;Adhir Samal;27/05/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;3; R$ 21.000,00 ; R$ 27.300,00 ;Vijay Singh; VEN11104 
140509;CLI02;GJ;Gujarat;Dannana Jhammi;27/05/2020;Shipped;37 GB DDR4 Ram;PCT184;RAM;CAT04;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;4; R$ 6.720,00 ; R$ 8.736,00 ;Aadil Khan; VEN11105 
140510;CLI03;GJ;Gujarat;Vipin Kumar;27/05/2020;Order;Micro ATX motherboard;PCT14;Motherboard;CAT05;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;2; R$ 13.080,00 ; R$ 17.004,00 ;Advika Joshi; VEN11106 
140511;CLI04;GJ;Gujarat;Ranjeet Kumar;28/05/2020;Processing;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;4; R$ 10.720,00 ; R$ 13.936,00 ;Ajay Sharma; VEN11101 
140512;CLI05;GJ;Gujarat;Sajal Singhal;29/05/2020;Delivered;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;3; R$ 24.750,00 ; R$ 32.175,00 ;Roshan Kumar; VEN11102 
140513;CLI06;GJ;Gujarat;Akhilesh Kumar;30/05/2020;Shipped;41 GB DDR4 RAM;PCT212;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;4; R$ 10.600,00 ; R$ 13.780,00 ;Aarvi Gupta; VEN11103 
140514;CLI07;GJ;Gujarat;Suvankar Chakraborty;31/05/2020;Order;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;3; R$ 37.650,00 ; R$ 48.945,00 ;Vijay Singh; VEN11104 
140515;CLI08;GJ;Gujarat;Suvankar Adhikary;01/06/2020;Processing;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;3; R$ 43.500,00 ; R$ 56.550,00 ;Aadil Khan; VEN11105 
140516;CLI09;GJ;Gujarat;Rahul Kumar Prajapati;02/06/2020;Delivered;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;3; R$ 2.400,00 ; R$ 3.120,00 ;Advika Joshi; VEN11106 
140517;CLI10;GJ;Gujarat;Sagar Jeur;03/06/2020;Shipped;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;2; R$ 1.200,00 ; R$ 1.560,00 ;Ajay Sharma; VEN11101 
140518;CLI11;GJ;Gujarat;Rhushikesh Mane;04/06/2020;Order;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;1; R$ 10.500,00 ; R$ 13.650,00 ;Ajay Sharma; VEN11101 
140519;CLI12;GJ;Gujarat;Ashish Kumar;05/06/2020;Processing;35 TB HDD;PCT265;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Roshan Kumar; VEN11102 
140520;CLI13;GJ;Gujarat;Javed Akhter;06/06/2020;Delivered;290 GB SSD;PCT270;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;3; R$ 13.500,00 ; R$ 17.550,00 ;Aarvi Gupta; VEN11103 
140521;CLI14;GJ;Gujarat;Haridas Balraj;07/06/2020;Shipped;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Vijay Singh; VEN11104 
140522;CLI15;GJ;Gujarat;Kundan Kumar;08/06/2020;Order;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;4; R$ 50.000,00 ; R$ 65.000,00 ;Aadil Khan; VEN11105 
140523;CLI16;GJ;Gujarat;Atif Siddiqui;09/06/2020;Processing;42 GB DDR4 RAM;PCT219;Computer Case;CAT11;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;2; R$ 7.000,00 ; R$ 9.100,00 ;Advika Joshi; VEN11106 
140524;CLI17;GJ;Gujarat;Aditya Agarwal;10/06/2020;Delivered;BTX motherboard;PCT27;Mouse;CAT08;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;3; R$ 13.500,00 ; R$ 17.550,00 ;Ajay Sharma; VEN11101 
140525;CLI18;GJ;Gujarat;Firdoush Jabee;11/06/2020;Shipped;37 Fans Cabinet;PCT271;Cabinet;CAT06;Asus;BRD6;R$ 2.100,00; R$ 2.730,00 ;4; R$ 8.400,00 ; R$ 10.920,00 ;Roshan Kumar; VEN11102 
140526;CLI19;GJ;Gujarat;Jay Prakash Kumar;12/06/2020;Order;Wireless Keyboard;PCT29;Keyboard;CAT07;Dell;BRD7;R$ 1.150,00; R$ 1.495,00 ;3; R$ 3.450,00 ; R$ 4.485,00 ;Aarvi Gupta; VEN11103 
140527;CLI20;GJ;Gujarat;Ashish Pandey;13/06/2020;Processing;USB Mouse;PCT30;Mouse;CAT08;Samsung;BRD1;R$ 350,00; R$ 455,00 ;1; R$ 350,00 ; R$ 455,00 ;Vijay Singh; VEN11104 
140528;CLI21;GJ;Gujarat;Ajay Sharma;14/06/2020;Delivered;"19"" LED Display";PCT31;Monitor;CAT09;Dell;BRD7;R$ 9.500,00; R$ 12.350,00 ;1; R$ 9.500,00 ; R$ 12.350,00 ;Aadil Khan; VEN11105 
140529;CLI22;GJ;Gujarat;Moinuddin Saifi;15/06/2020;Shipped;36 TB HDD;PCT272;HDD;CAT10;Western Digital;BRD11;R$ 10.000,00; R$ 13.000,00 ;4; R$ 40.000,00 ; R$ 52.000,00 ;Advika Joshi; VEN11106 
140530;CLI23;GJ;Gujarat;Ramkrishna Das Adhikary;16/06/2020;Order;546 GB M.2;PCT273;SSD;CAT01;Samsung;BRD1;R$ 6.500,00; R$ 8.450,00 ;2; R$ 13.000,00 ; R$ 16.900,00 ;Ajay Sharma; VEN11101 
140531;CLI24;GJ;Gujarat;Ranjeet Mandal;17/06/2020;Processing;RYZEN 3rd gen. 3534;PCT274;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;3; R$ 25.500,00 ; R$ 33.150,00 ;Roshan Kumar; VEN11102 
140532;CLI25;GJ;Gujarat;Ashwini Adsare;18/06/2020;Delivered;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;2; R$ 14.000,00 ; R$ 18.200,00 ;Aarvi Gupta; VEN11103 
140533;CLI26;GJ;Gujarat;Rajesh Variya;19/06/2020;Shipped;50 GB DDR4 RAM;PCT275;Computer Case;CAT11;Hynix;BRD4;R$ 6.550,00; R$ 8.515,00 ;3; R$ 19.650,00 ; R$ 25.545,00 ;Vijay Singh; VEN11104 
140534;CLI27;GJ;Gujarat;Amit Singh;20/06/2020;Order;Standard ATX motherboard;PCT05;Mouse;CAT08;Gigabyte;BRD5;R$ 7.650,00; R$ 9.945,00 ;3; R$ 22.950,00 ; R$ 29.835,00 ;Aadil Khan; VEN11105 
140535;CLI28;GJ;Gujarat;Vinod Mehta;20/06/2020;Processing;Compact with 1 Fan;PCT06;Cabinet;CAT06;Asus;BRD6;R$ 1.150,00; R$ 1.495,00 ;1; R$ 1.150,00 ; R$ 1.495,00 ;Advika Joshi; VEN11106 
140536;CLI29;GJ;Gujarat;Jignesh Mhatre;20/06/2020;Delivered;USB Backlight Keyboard;PCT07;Keyboard;CAT07;Dell;BRD7;R$ 850,00; R$ 1.105,00 ;1; R$ 850,00 ; R$ 1.105,00 ;Ajay Sharma; VEN11101 
140537;CLI30;GJ;Gujarat;Rahul Kashyap;20/06/2020;Shipped;Ergonomic Mouse;PCT08;Mouse;CAT08;Samsung;BRD1;R$ 650,00; R$ 845,00 ;4; R$ 2.600,00 ; R$ 3.380,00 ;Roshan Kumar; VEN11102 
140538;CLI31;GJ;Gujarat;Mohammed Abdul Kaleem;20/06/2020;Order;"15"" LCD Dsipaly";PCT09;Monitor;CAT09;Dell;BRD7;R$ 7.500,00; R$ 9.750,00 ;3; R$ 22.500,00 ; R$ 29.250,00 ;Aarvi Gupta; VEN11103 
140539;CLI32;GJ;Gujarat;Chandrakant Kasbe;20/06/2020;Processing;36 TB HDD;PCT272;HDD;CAT10;Seagate;BRD8;R$ 10.000,00; R$ 13.000,00 ;2; R$ 20.000,00 ; R$ 26.000,00 ;Vijay Singh; VEN11104 
140540;CLI33;GJ;Gujarat;Rohan Kale;20/06/2020;Delivered;35 TB SSD;PCT276;SSD;CAT01;Samsung;BRD1;R$ 10.500,00; R$ 13.650,00 ;2; R$ 21.000,00 ; R$ 27.300,00 ;Aadil Khan; VEN11105 
140541;CLI34;GJ;Gujarat;Aniruddha Kekapure;21/06/2020;Shipped;Intel i5 12th gen.;PCT12;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;2; R$ 17.000,00 ; R$ 22.100,00 ;Advika Joshi; VEN11106 
140542;CLI35;GJ;Gujarat;Aslam Raza;22/06/2020;Order;2GB Graphic Card;PCT03;Graphic Card;CAT03;Nvidia;BRD3;R$ 7.000,00; R$ 9.100,00 ;1; R$ 7.000,00 ; R$ 9.100,00 ;Ajay Sharma; VEN11101 
140543;CLI36;GJ;Gujarat;Roshan Zameer;23/06/2020;Processing;38 GB DDR4 Ram;PCT191;Computer Case;CAT11;Hynix;BRD4;R$ 1.680,00; R$ 2.184,00 ;4; R$ 6.720,00 ; R$ 8.736,00 ;Roshan Kumar; VEN11102 
140544;CLI37;UK;Uttarakhand;Rakesh Kumar Sharma;24/06/2020;Delivered;Micro ATX motherboard;PCT14;Mouse;CAT08;MSI;BRD9;R$ 6.540,00; R$ 8.502,00 ;4; R$ 26.160,00 ; R$ 34.008,00 ;Aarvi Gupta; VEN11103 
140545;CLI38;UP;Uttar Pradesh;Shivanand Sahani;25/06/2020;Shipped;Gaming Box Cabinet;PCT15;Cabinet;CAT06;Asus;BRD6;R$ 2.680,00; R$ 3.484,00 ;3; R$ 8.040,00 ; R$ 10.452,00 ;Vijay Singh; VEN11104 
140546;CLI39;WB;West Bengal;Kunal Patra;26/06/2020;Order;"17"" LCD Display";PCT16;Monitor;CAT09;Samsung;BRD1;R$ 8.250,00; R$ 10.725,00 ;1; R$ 8.250,00 ; R$ 10.725,00 ;Aadil Khan; VEN11105 
140547;CLI40;TN;Tamil Nadu;Bijendra;26/06/2020;Processing;42 GB DDR4 RAM;PCT219;RAM;CAT04;Samsung;BRD1;R$ 2.650,00; R$ 3.445,00 ;3; R$ 7.950,00 ; R$ 10.335,00 ;Advika Joshi; VEN11106 
140548;CLI41;TR;Tripura;Kranti Bheke;26/06/2020;Delivered;"26"" LCD Display";PCT18;Monitor;CAT09;Acer;BRD10;R$ 12.550,00; R$ 16.315,00 ;2; R$ 25.100,00 ; R$ 32.630,00 ;Ajay Sharma; VEN11101 
140549;CLI42;AN;Andaman and Nicobar Islands;Jagdeep;26/06/2020;Shipped;I7 - intel 12th Generation;PCT19;CPU;CAT02;Intel;BRD2;R$ 14.500,00; R$ 18.850,00 ;1; R$ 14.500,00 ; R$ 18.850,00 ;Roshan Kumar; VEN11102 
140550;CLI01;CH;Chandigarh;Adhir Samal;26/06/2020;Order;USB Keyboard;PCT20;Keyboard;CAT07;Dell;BRD7;R$ 800,00; R$ 1.040,00 ;2; R$ 1.600,00 ; R$ 2.080,00 ;Aarvi Gupta; VEN11103 
140551;CLI02;DH;Dadra and Nagar Haveli;Dannana Jhammi;26/06/2020;Processing;Wireless Mouse;PCT21;Mouse;CAT08;Samsung;BRD1;R$ 600,00; R$ 780,00 ;1; R$ 600,00 ; R$ 780,00 ;Vijay Singh; VEN11104 
140552;CLI03;DD;Daman and Diu;Vipin Kumar;26/06/2020;Delivered;"21"" LCD Display";PCT22;Monitor;CAT09;Dell;BRD7;R$ 10.500,00; R$ 13.650,00 ;2; R$ 21.000,00 ; R$ 27.300,00 ;Aadil Khan; VEN11105 
140553;CLI04;DL;Delhi;Ranjeet Kumar;26/06/2020;Shipped;36 TB HDD;PCT272;HDD;CAT10;Western Digital;BRD11;R$ 6.500,00; R$ 8.450,00 ;3; R$ 19.500,00 ; R$ 25.350,00 ;Advika Joshi; VEN11106 
140554;CLI05;LD;Lakshadweep;Sajal Singhal;26/06/2020;Order;291 GB SSD;PCT277;SSD;CAT01;Samsung;BRD1;R$ 4.500,00; R$ 5.850,00 ;1; R$ 4.500,00 ; R$ 5.850,00 ;Ajay Sharma; VEN11101 
140555;CLI06;PY;Pondicherry;Akhilesh Kumar;26/06/2020;Processing;Intel i3 11th gen.;PCT24;CPU;CAT02;Intel;BRD2;R$ 8.500,00; R$ 11.050,00 ;4; R$ 34.000,00 ; R$ 44.200,00 ;Roshan Kumar; VEN11102 
140556;CLI07;AP;Andhra Pradesh;Suvankar Chakraborty;26/06/2020;Delivered;4GB Graphic card;PCT25;Graphic Card;CAT03;Nvidia;BRD3;R$ 12.500,00; R$ 16.250,00 ;4; R$ 50.000,00 ; R$ 65.000,00 ;Aarvi Gupta; VEN11103 
140557;CLI08;AR;Arunachal Pradesh;Suvankar Adhikary;26/06/2020;Shipped;43 GB DDR4 RAM;PCT226;NIC;CAT12;Hynix;BRD4;R$ 3.500,00; R$ 4.550,00 ;3; R$ 10.500,00 ; R$ 13.650,00 ;Vijay Singh; VEN11104 
140558;CLI09;AS;Assam;Rahul Kumar Prajapati;26/06/2020;Order;BTX motherboard;PCT27;Printer;CAT13;Gigabyte;BRD5;R$ 4.500,00; R$ 5.850,00 ;4; R$ 18.000,00 ; R$ 23.400,00 ;Aadil Khan; VEN11105 
